index.html:314 The specified value "age here" cannot be parsed, or is out of range.
index.html:238 
puck.js:392 <BLE> Device Name:       MDBT42Q 4e01
puck.js:392 <BLE> Device ID:         Aw+uW+fTo9g+j75mHkvXtg==
puck.js:392 <BLE> Connected
index.html:217 Received JSON:  {t: "-497.10", p: "-16685.28"}
index.html:217 Received JSON:  {t: "-497.10", p: "-949.65"}
index.html:217 Received JSON:  {t: "30.28", p: "0.48"}
index.html:217 Received JSON:  {t: "30.28", p: "0.48"}
index.html:217 Received JSON:  {t: "30.28", p: "0.77"}
index.html:217 Received JSON:  {t: "30.27", p: "0.76"}
index.html:217 Received JSON:  {t: "30.27", p: "0.76"}
index.html:217 Received JSON:  {t: "30.28", p: "1.06"}
index.html:217 Received JSON:  {t: "30.27", p: "1.06"}
index.html:217 Received JSON:  {t: "30.26", p: "0.75"}
index.html:217 Received JSON:  {t: "30.27", p: "0.76"}
index.html:217 Received JSON:  {t: "30.27", p: "0.47"}
index.html:217 Received JSON:  {t: "30.27", p: "1.34"}
index.html:217 Received JSON:  {t: "30.26", p: "1.05"}
index.html:217 Received JSON:  {t: "30.26", p: "1.05"}
index.html:217 Received JSON:  {t: "30.26", p: "0.46"}
index.html:217 Received JSON:  {t: "30.26", p: "-0.12"}
index.html:217 Received JSON:  {t: "30.26", p: "0.75"}
index.html:217 Received JSON:  {t: "30.26", p: "0.17"}
puck.js:392 <BLE> ERROR: NotFoundError: User cancelled the requestDevice() chooser.
index.html:217 Received JSON:  {t: "30.26", p: "1.04"}
index.html:217 Received JSON:  {t: "30.26", p: "1.04"}
index.html:217 Received JSON:  {t: "30.25", p: "0.75"}
index.html:217 Received JSON:  {t: "30.26", p: "0.75"}
index.html:217 Received JSON:  {t: "30.25", p: "1.03"}
index.html:217 Received JSON:  {t: "30.25", p: "1.32"}
index.html:174 MAX:
index.html:175 0.8107780737154071
index.html:217 Received JSON:  {t: "30.25", p: "0.74"}
index.html:217 Received JSON:  {t: "30.25", p: "0.74"}
index.html:217 Received JSON:  {t: "30.25", p: "1.91"}
index.html:217 Received JSON:  {t: "30.25", p: "1.03"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "1.61"}
index.html:217 Received JSON:  {t: "30.24", p: "1.61"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "1.32"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
index.html:217 Received JSON:  {t: "30.24", p: "1.32"}
index.html:217 Received JSON:  {t: "30.24", p: "1.02"}
